"","YEAR","GEOID","A","B","C"
"373",1990,"220170239014",1108,1108,1108
"374",1990,"220170239031",724,724,724
"375",1990,"220170239032",1185,1185,1185
"376",1990,"220170239033",1217,1217,1217
"377",1990,"220170239041",2450.54,2450.54,2450.54
"378",1990,"220170239042",683.46,683.46,683.46
"379",1990,"220170239051",1579,1579,1579
"380",1990,"220170239052",1669,1669,1669
"381",1990,"220170240001",589,589,589
"382",1990,"220170240002",913,913,913
"383",1990,"220170240003",1425,1425,1425
"384",1990,"220170240004",1871,1871,1871
"385",1990,"220170241021",1915,1915,1915
"386",1990,"220170241022",1602,1602,1602
"387",1990,"220170241041",1832,1832,1832
"388",1990,"220170241042",698.16,698.16,698.16
"389",1990,"220170241043",1130,1130,1130
"390",1990,"220170241044",1642.84,1642.84,1642.84
"391",1990,"220170241045",1381,1381,1381
"392",1990,"220170241061",1207.6,1207.6,1207.6
"393",1990,"220170241062",1041.4,1041.4,1041.4
"394",1990,"220170241063",1190,1190,1190
"395",1990,"220170241064",1363,1363,1363
"396",1990,"220170241065",1800,1800,1800
"397",1990,"220170241071",2132.39,2132.39,2132.39
"398",1990,"220170241072",2037.11,2037.11,2037.11
"399",1990,"220170241073",1204.47,1204.47,1204.47
"400",1990,"220170241081",1376,1376,1376
"401",1990,"220170241082",634,634,634
"402",1990,"220170241083",1449,1449,1449
"403",1990,"220170241084",721,721,721
"404",1990,"220170241085",2451,2451,2451
"405",1990,"220170241091",975,975,975
"406",1990,"220170241092",1122,1122,1122
"407",1990,"220170241093",1787,1787,1787
"408",1990,"220170242011",865,865,865
"409",1990,"220170242012",2066,2066,2066
"410",1990,"220170242021",2087,2087,2087
"411",1990,"220170242022",1860,1860,1860
"412",1990,"220170242023",1653,1653,1653
"413",1990,"220170242031",1265,1265,1265
"414",1990,"220170242032",1172,1172,1172
"415",1990,"220170242033",2054,2054,2054
"416",1990,"220170243011",867.14,867.14,867.14
"417",1990,"220170243012",1745.86,1745.86,1745.86
"418",1990,"220170243013",1841,1841,1841
"419",1990,"220170243014",2457,2457,2457
"420",1990,"220170243031",2017,2017,2017
"421",1990,"220170243032",704,704,704
"422",1990,"220170243033",1379,1379,1379
"423",1990,"220170243034",1021,1021,1021
"424",1990,"220170243041",2340,2340,2340
"425",1990,"220170243042",1436,1436,1436
"426",1990,"220170244001",1549,1549,1549
"427",1990,"220170244002",1376,1376,1376
"428",1990,"220170244003",893,893,893
"429",1990,"220170245031",1625,1625,1625
"430",1990,"220170245032",1299.44,1299.44,1299.44
"431",1990,"220170245033",1580,1580,1580
"432",1990,"220170245041",1874.43,1874.43,1874.43
"433",1990,"220170245042",888.57,888.57,888.57
"434",1990,"220170245043",1470,1470,1470
"435",1990,"220170246011",2772,2772,2772
"436",1990,"220170246012",1669,1669,1669
"437",1990,"220170246013",980,980,980
"438",1990,"220170246021",1257,1257,1257
"439",1990,"220170246022",1702,1702,1702
"440",1990,"220170246023",977,977,977
"441",1990,"220170246024",1046,1046,1046
"442",1990,"220170246025",676,676,676
"443",1990,"220170247001",1082,1082,1082
"444",1990,"220170247002",881,881,881
"445",1990,"220170248001",1423,1423,1423
"446",1990,"220170249001",623.99,623.99,623.99
"447",1990,"220170249002",2068,2068,2068
"448",1990,"220170249003",1251.01,1251.01,1251.01
"449",1990,"220170250001",913,913,913
"450",1990,"220170250002",709,709,709
"451",1990,"220170250003",1289,1289,1289
"452",1990,"220170250004",1298,1298,1298
"453",1990,"220170251001",1029,1029,1029
"454",1990,"220170251002",1086,1086,1086
"455",1990,"220170251003",717,717,717
"456",1990,"220170252001",1274.11,1274.11,1274.11
"457",1990,"220170252002",1494.52,1494.52,1494.52
"458",1990,"220170253001",1503,1503,1503
"459",1990,"220170253002",645.62,645.62,645.62
"460",1990,"220170254051",1457.1,1457.1,1457.1
"461",1990,"220170254052",1140.51,1140.51,1140.51
"462",1990,"220170254061",2305.86,2305.86,2305.86
"463",1990,"220170254062",1171.14,1171.14,1171.14
"464",1990,"220179800001",4.68,4.68,4.68
"465",1990,"220190001001",1613,1613,1613
"466",1990,"220190001002",1207,1207,1207
"467",1990,"220190002001",2635.37,2635.37,2635.37
"468",1990,"220190003001",885,885,885
"469",1990,"220190003002",1620.19,1620.19,1620.19
"470",1990,"220190004001",985,985,985
"471",1990,"220190004002",1391.44,1391.44,1391.44
"472",1990,"220190005001",1094,1094,1094
"473",1990,"220190005002",760,760,760
"474",1990,"220190005003",833,833,833
"475",1990,"220190005004",614,614,614
"476",1990,"220190006001",854,854,854
"477",1990,"220190006002",716,716,716
"478",1990,"220190006003",931,931,931
"479",1990,"220190006004",952,952,952
"480",1990,"220190006005",729,729,729
"481",1990,"220190006006",1468,1468,1468
"482",1990,"220190006007",1566,1566,1566
"483",1990,"220190007001",1147.92,1147.92,1147.92
"484",1990,"220190007002",1203,1203,1203
"485",1990,"220190007003",1096,1096,1096
"486",1990,"220190007004",1290.78,1290.78,1290.78
"487",1990,"220190008001",805,805,805
"488",1990,"220190008002",821,821,821
"489",1990,"220190008003",760,760,760
"490",1990,"220190008004",1016,1016,1016
"491",1990,"220190009001",1458.11,1458.11,1458.11
"492",1990,"220190009002",708,708,708
"493",1990,"220190009003",830,830,830
"494",1990,"220190009004",910.89,910.89,910.89
"495",1990,"220190010001",1235,1235,1235
"496",1990,"220190010002",1750.3,1750.3,1750.3
"497",1990,"220190010003",816,816,816
"498",1990,"220190011001",1087,1087,1087
"499",1990,"220190011002",1825,1825,1825
"500",1990,"220190011003",1384,1384,1384
"501",1990,"220190012011",1705,1705,1705
"502",1990,"220190012012",1525,1525,1525
"503",1990,"220190012013",1685,1685,1685
"504",1990,"220190012021",1438,1438,1438
"505",1990,"220190012022",1039,1039,1039
